School ID,School Code,School Name,Non-Participating School,governance,operator,address,city,state,zip,phone,open,close,grades,transportation,wheelchair,spedlevel,spedprogram,dress,magnet,priority,beforeafter
0016100000Rssl0,9319,Allen Academy,0,Charter,Leona Group,8666 Quincy St,Detroit,MI,48204,(313) 898-6444,7:25 AM,3:30 PM,K-12,none reported,Not fully accessible,Basic - we offer or partner to provide services based on the needs of individual students,"Visual impairments, Hearing impairments, Emotional behavioral disabilities, Speech and language impairments, Specific learning disabilities",Dress code,,Children of Staff and Board,no before/after care reported
0016100000Rsso1,1518,Bethune Elementary-Middle School,0,EAA,,8145 Puritan Street,Detroit,MI,48238,(313) 494-3830,8:30 AM,3:30 PM,Pre-K-8,Busses/vans for our students only,Wheelchair accessible,Basic - we offer or partner to provide services based on the needs of individual students,Specific learning disabilities,Uniforms,,,no before/after care reported
0016100000RsslH,9341,Brenda Scott Academy,0,EAA,,18440 Hoover St,Detroit,MI,48205,(313) 866-6700,8:45 AM,4:15 PM,Pre-K-8,Busses/vans for our students only,Wheelchair accessible,Basic - we offer or partner to provide services based on the needs of individual students,"Specific learning disabilities, Cognitive disability",Uniforms,,,no before/after care reported
0016100000RsslM,456,Burns Elementary-Middle School,0,EAA,,14350 Terry St,Detroit,MI,48227,(313) 852-0534,9:00 AM,4:30 PM,Pre-K-8,"Busses/vans for our students only, Transportation provided for special education students only",Not fully accessible,Basic - we offer or partner to provide services based on the needs of individual students,"Emotional behavioral disabilities, Specific learning disabilities, Cognitive disability",Uniforms,,,no before/after care reported
0016100000RsslU,617,Central High School,0,EAA,,2425 Tuxedo St,Detroit,MI,48206,(313) 252-3000,8:30 AM,3:30 PM,9-12,Passes/tokens for public transportation,Wheelchair accessible,Basic - we offer or partner to provide services based on the needs of individual students,Cognitive disability,Uniforms,,,no before/after care reported
0016100000Rsslr,1214,Cornerstone Health & Technology High School,0,Charter,Cornerstone Charter Schools,19900 Mcintyre St,Detroit,MI,48219,(313) 486-4260,8:10 AM,3:10 PM,9-12,None,Not fully accessible,Moderate - we consistently offer a full program for particular special education needs,"Hearing impairments, Emotional behavioral disabilities, Speech and language impairments, Specific learning disabilities, Other health impairments, Cognitive disability",Uniforms,,Children of Staff and Board,After school care available
0016100000Rssm9,902,Denby High School,0,EAA,,12800 Kelly Rd,Detroit,MI,48224,(313) 866-7200,8:00 AM,3:30 PM,9-12,Passes/tokens for public transportation,Wheelchair accessible,Basic - we offer or partner to provide services based on the needs of individual students,Cognitive disability,No dress code,,,no before/after care reported
0016100000RssmA,2736,DEPSA: Early College of Excellence,0,Chater,New Paradigm for Education,3402 St. Aubin,Detroit,MI,48207,(313) 833-1100,7:20 AM,3:15 PM,9-12,Busses/vans for our students only,Wheelchair accessible,Basic - we offer or partner to provide services based on the needs of individual students,none reported,Uniforms,,Children of Staff and Board,Before & after school care available
0016100000RssmD,1968,Detroit Achievement Academy,0,Charter,Expeditionary Learning,15000 Southfield Fwy,Detroit,MI,48223,(313) 468-9518,7:55 AM,3:45 PM,K-3,Busses/vans for our students only,Wheelchair accessible,Basic - we offer or partner to provide services based on the needs of individual students,"Speech and language impairments, Specific learning disabilities",Uniforms,,Children of Staff and Board,Before & after school care available
0016100000RssmJ,9915,Detroit Cristo Rey High School,0,Independent,,5679 West Vernor Hwy,Detroit,MI,48209,(313) 843-2747,7:30 AM,4:00 PM,9-12,None,Not fully accessible,Basic - we offer or partner to provide services based on the needs of individual students,none reported,Dress code,Magnet Application - Private,,no before/after care reported
